Time(min) Ns(cm-3) Rs(ohm/sq) Xj(um) 
58.9504 6.82026e+019 83.9205 0.182821 
63.7018 6.58833e+019 85.3443 0.186589 
68.8362 6.3666e+019 86.9323 0.191006 
74.3844 6.1487e+019 88.5891 0.195006 
80.3798 5.93466e+019 90.1482 0.199097 
86.8584 5.72451e+019 91.8249 0.203851 
93.8592 5.51827e+019 93.6016 0.208145 
101.424 5.31596e+019 95.3042 0.212643 
109.599 5.11755e+019 97.1099 0.217786 
118.433 4.93291e+019 99.0093 0.222317 
127.979 4.75428e+019 100.842 0.227345 
138.294 4.57853e+019 102.81 0.232616 
149.44 4.40573e+019 104.838 0.237653 
161.485 4.23591e+019 106.842 0.243392 
174.501 4.06914e+019 109.001 0.248634 
188.566 3.90629e+019 111.145 0.254366 
203.764 3.75589e+019 113.383 0.260222 
220.187 3.60779e+019 115.709 0.266074 
237.934 3.46209e+019 118.033 0.272404 
257.111 3.3189e+019 120.519 0.278457 
277.834 3.17832e+019 122.992 0.285191 
300.227 3.04402e+019 125.62 0.291504 
324.425 2.91694e+019 128.264 0.29857 
350.574 2.79197e+019 131.042 0.305225 
378.83 2.66924e+019 133.875 0.312607 
409.364 2.54892e+019 136.83 0.319648 
442.359 2.43522e+019 139.854 0.327415 
478.013 2.32648e+019 143.001 0.334806 
516.541 2.2198e+019 146.228 0.34289 
558.174 2.11536e+019 149.598 0.350742 
603.163 2.01558e+019 153.044 0.359131 
651.778 1.92139e+019 156.65 0.367503 
704.311 1.8292e+019 160.336 0.376186 
761.078 1.73918e+019 164.2 0.385143 
822.421 1.65474e+019 168.158 0.394109 
888.708 1.57367e+019 172.282 0.403591 
960.338 1.49459e+019 176.551 0.412953 
1037.74 1.41918e+019 180.963 0.422716 
1121.38 1.34811e+019 185.563 0.432775 
1211.76 1.27887e+019 190.309 0.442805 
1309.43 1.21291e+019 195.255 0.453287 
1414.97 1.15073e+019 200.384 0.463908 
1529.02 1.09022e+019 205.706 0.474652 
1652.26 1.03341e+019 211.263 0.485799 
1785.43 9.79033e+018 217.025 0.497049 
1929.34 9.26655e+018 223.029 0.508448 
2084.84 8.77775e+018 229.309 0.520191 
2252.88 8.30232e+018 235.834 0.53214 
2434.46 7.85937e+018 242.651 0.544098 
2630.68 7.43108e+018 249.804 0.556357 
2842.71 7.02862e+018 257.28 0.568886 
3071.83 6.64219e+018 265.103 0.581457 
3319.42 6.2783e+018 273.334 0.594139 
3586.97 5.92902e+018 281.999 0.607045 
3876.08 5.60116e+018 291.108 0.620145 
4188.49 5.2849e+018 300.72 0.633236 
4526.08 4.99025e+018 310.895 0.646373 
4890.88 4.70673e+018 321.675 0.659642 
5285.08 4.43915e+018 333.115 0.673012 
5711.06 4.18545e+018 69383.9 9.2484e-005 
6171.37 3.94277e+018 73067.3 0.000531099 
6668.78 3.71527e+018 77095.4 0.000959223 
7206.28 3.49866e+018 81505.4 0.00137799 
7787.11 3.2923e+018 86340.2 0.00178846 
8414.75 3.09807e+018 91649.9 0.00219167 
9092.98 2.9142e+018 97493.5 0.00258855 
9825.87 2.73955e+018 103940 0.00298001 
10617.8 2.57393e+018 111073 0.00336689 
11473.6 2.41784e+018 118988 0.00374997 
12398.4 2.27057e+018 127805 0.00412998 
13397.7 2.13116e+018 137664 0.00450757 
14477.6 1.99936e+018 148740 0.00488337 
15644.5 1.87486e+018 161244 0.00525794 
16905.4 1.75738e+018 175439 0.00563178 
18268 1.64659e+018 191655 0.00600534 
19740.4 1.54218e+018 210310 0.00637904 
21331.5 1.44384e+018 231938 0.00675323 
23050.8 1.3513e+018 257234 0.00712823 
24908.7 1.26421e+018 287116 0.00750432 
26916.3 1.18229e+018 322824 0.00788173 
29085.8 1.10525e+018 353053 0.00826067 
31430.1 1.0328e+018 406746 0.0086413 
33963.4 9.64703e+017 473927 0.00902376 
36700.9 9.00833e+017 560199 0.00940816 
39659 8.41014e+017 674735 0.00979459 
42855.5 7.84802e+017 309430 0.0111617 
46309.7 7.321e+017 394419 0.0151203 
50042.3 6.82821e+017 531396 0.0190907 
